go_term,background_gene_count,train_variance,passed_variance_filter,mutual_information,mi_rank,selected
GO:0009408,197,0.0006569843972101808,True,0.0,682,False
GO:0009409,360,0.0021717355120927095,True,0.004040178765406077,239,False
GO:0009411,36,0.0004030563577543944,True,0.008856341877832241,107,False
GO:0009414,370,0.0015163019997999072,True,0.00347397910307623,258,False
GO:0009416,221,0.005055748857557774,True,0.0,685,False
GO:0009451,176,0.00014957875828258693,True,0.00020790472025433715,381,False
GO:0009504,43,9.862939623417333e-05,True,0.005444111233375626,190,False
GO:0009505,558,0.002813668455928564,True,0.0,687,False
GO:0009506,908,0.0042147282510995865,True,0.006445737603750112,160,False
GO:0009507,4985,0.06736696511507034,True,0.042407743443650725,2,True
GO:0009524,72,0.00040336541133001447,True,0.0,689,False
GO:0009532,25,0.00017028074944391847,True,0.00692097253830104,146,False
GO:0009534,224,0.0022878958843648434,True,0.0,690,False
GO:0009535,347,0.00239889370277524,True,0.0,691,False
GO:0009536,949,0.009083387441933155,True,0.019604252198001326,11,True
GO:0009543,51,0.00013665056030731648,True,0.0,683,False
GO:0009553,80,0.0003624084056355059,True,0.006653612255823171,153,False
GO:0009555,261,0.002712751505896449,True,0.0,695,False
GO:0009556,27,5.44748836546205e-05,True,0.0023904647755388364,297,False
GO:0009561,36,0.00024109600053634495,True,0.0062360159164371876,167,False
GO:0009567,88,0.0002982144069392234,True,0.008551628941445122,110,False
GO:0009570,634,0.020904356613755226,True,0.01452079611140844,34,True
GO:0009574,26,2.4836977900122292e-05,False,,,False
GO:0009579,223,0.002509134355932474,True,0.0,698,False
GO:0009585,20,9.191667049890384e-05,True,0.0008728152224122265,349,False
GO:0009611,231,0.0027179373428225517,True,0.003149693448954549,275,False
