primary_model,comparison_model,metric,n_paired_folds,mean_primary_minus_comparison,sd_difference,descriptive_95pct_lower,descriptive_95pct_upper,note
Six-tree soft-voting ensemble,Extra Trees,f1,15,0.012980375562538978,0.017481824160827792,0.004133351887940546,0.02182739923713741,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Extra Trees,brier,15,-0.016996440547306053,0.0079391677876648,-0.021014213791557348,-0.012978667303054758,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Gradient Boosting,auroc,15,0.008322030597825008,0.009715944885063008,0.0034050840807759684,0.013238977114874047,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Gradient Boosting,auprc,15,0.014312015755553971,0.018626009201617222,0.004885954558849144,0.023738076952258796,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Gradient Boosting,f1,15,0.010270971332670076,0.01701564812368754,0.0016598652830956788,0.018882077382244473,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Gradient Boosting,brier,15,-0.009899757880102002,0.008026644371374868,-0.013961800383667212,-0.0058377153765367925,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,XGBoost,auroc,15,0.007114775436957747,0.010387529379794331,0.001857960272923077,0.012371590600992417,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,XGBoost,auprc,15,0.01607999168052107,0.027267324900575374,0.0022808213697418523,0.029879161991300286,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,XGBoost,f1,15,0.011025391930612465,0.020184146186237185,0.0008108046244820234,0.021239979236742906,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,XGBoost,brier,15,-0.00888603406837244,0.0064841439291642294,-0.012167463644775597,-0.005604604491969283,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,LightGBM,auroc,15,0.01133986777877305,0.009574157378459664,0.006494675640222613,0.016185059917323486,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,LightGBM,auprc,15,0.01797965320970052,0.024875254194790905,0.005391037699764609,0.03056826871963643,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,LightGBM,f1,15,0.01532133516906955,0.025064982961959713,0.002636703655342916,0.028005966682796184,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,LightGBM,brier,15,-0.012930948242048322,0.007748318188902549,-0.016852138263461772,-0.009009758220634871,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,CatBoost,auroc,15,0.004635599474756388,0.0083767483481302,0.00039637991332636385,0.00887481903618641,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,CatBoost,auprc,15,0.009190496486015094,0.019298177943249777,-0.000575729027401788,0.018956721999431977,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,CatBoost,f1,15,0.0042156667496409195,0.014562614955130873,-0.003154033236290264,0.011585366735572103,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,CatBoost,brier,15,-0.004168636157083694,0.003641381518141007,-0.006011429460738181,-0.0023258428534292074,Descriptive paired interval; no significance claim.
