go_term,background_gene_count,train_variance,passed_variance_filter,mutual_information,mi_rank,selected
GO:0006906,39,0.00039847654988989234,True,0.0,463,False
GO:0006914,20,0.00011921569239348173,True,0.0024258632919975653,345,False
GO:0006950,72,0.0001836060400819406,True,0.00025296185869527754,375,False
GO:0006952,312,0.001270971610210836,True,0.0,464,False
GO:0006955,57,4.774560147779994e-05,True,0.020817259012234413,119,False
GO:0006970,165,0.0010471042478457093,True,0.0,465,False
GO:0006974,60,0.00024748133728280663,True,0.026894956729522024,70,True
GO:0006979,244,0.002525914227589965,True,0.0,466,False
GO:0006995,39,0.00017784461670089513,True,0.0,467,False
GO:0007005,47,5.6537774071330205e-05,True,0.006497510732325296,289,False
GO:0007015,48,0.0033710820134729147,True,0.017177877295943444,159,False
