model,feature,mean_abs_probability_shap
CatBoost,GO:0016132,0.00035139409077082845
CatBoost,GO:0080027,0.0013704264497273104
CatBoost,GO:0009631,0.000992028318221392
CatBoost,GO:0046856,0.0001719629851981747
CatBoost,GO:0006888,0.0
CatBoost,GO:0003723,0.003177537618269748
CatBoost,GO:0042644,0.002770482472727942
CatBoost,GO:0019748,6.575712733074084e-05
CatBoost,GO:0003729,0.00276781785601563
CatBoost,GO:0016020,0.003980720450639367
CatBoost,GO:0051510,0.0
CatBoost,GO:0009579,0.007786471386891988
CatBoost,GO:0072583,0.00017708998488822928
CatBoost,GO:0005759,0.0033597868953556937
CatBoost,GO:0009644,0.00045169571654575514
CatBoost,GO:0006631,0.005009369785465365
CatBoost,GO:0000160,0.0
CatBoost,GO:0009640,0.0003880008534737222
CatBoost,GO:0015706,2.9787214458878253e-05
CatBoost,GO:0061630,0.00017799843817044525
CatBoost,GO:0140359,8.605127612614122e-05
CatBoost,GO:0031624,0.0
CatBoost,jaccard_mean,0.11107406240272609
CatBoost,jaccard_min,0.0026387191050206704
CatBoost,jaccard_max,0.005128497207209163
CatBoost,jaccard_std,0.02318628378602408
CatBoost,annotated_gene_count,0.029476800796456006
CatBoost,log_annotated_gene_count,0.02776673123226019
CatBoost,go_entropy,0.05247133968494402
CatBoost,go_size_std,0.007428731222079882
CatBoost,mean_go_per_gene,0.03335225725874174
