model,config_id,config_index,parameters_json,parameters_sha256,status,error,n_folds,outer_test_used,selection_metric,mean_auroc,sd_auroc,mean_auprc,sd_auprc,mean_normalized_auprc,sd_normalized_auprc,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,mean_brier,sd_brier,mean_elapsed_s,sd_elapsed_s
XGBoost,xgboost_05,5,"{""learning_rate"":0.03,""max_depth"":7,""n_estimators"":300}",9a119446d77a1cf1afb7ae194a4a104ed0f1e37d447a129d353fde01357ac688,ok,,15,False,mean_auroc,0.8386593585063289,0.02067739154588368,0.7839377160407637,0.03295615209732763,0.5678754320815274,0.06591230419465526,0.7939865620762545,0.024144105815011502,0.7404034037001535,0.02414714145083049,0.8581451370069256,0.050854969936189855,0.15818937222162882,0.011858106771497519,0.1170232166070491,0.0064755985786792815
XGBoost,xgboost_06,6,"{""learning_rate"":0.05,""max_depth"":7,""n_estimators"":300}",a8aed1694832e22bd395079500342833d98f8683ba6180677a3564ed319cc19b,ok,,15,False,mean_auroc,0.8376871600471277,0.02392681679440562,0.7856978707052567,0.0345497693075643,0.5713957414105136,0.0690995386151286,0.7866511687877046,0.018407297430416733,0.739229683011627,0.023960525065938626,0.8426678711231558,0.04388890509507263,0.16276256442070008,0.013897830745149293,0.10716335266285265,0.005265844071246864
XGBoost,xgboost_07,7,"{""learning_rate"":0.03,""max_depth"":3,""n_estimators"":500}",a214318751f9b090bb43d21b64cb6179664c19130100e04f717d6f526aee91fc,ok,,15,False,mean_auroc,0.8381107855766123,0.02046406348025021,0.7852310468849362,0.03772638267393553,0.5704620937698726,0.07545276534787106,0.7864708956708764,0.012620299740971416,0.7337546541770393,0.018306643182491478,0.8484091137207667,0.029461952615661535,0.15760416984558107,0.010326309354652308,0.08826380826455231,0.004053498649860955
XGBoost,xgboost_08,8,"{""learning_rate"":0.05,""max_depth"":3,""n_estimators"":500}",0a2099d856937a1d65e74e799c5063cf6d14b0002660429dab2027ac456ba8cc,ok,,15,False,mean_auroc,0.8356854326681713,0.02421990993907247,0.7799116370031146,0.040004603067837825,0.5598232740062289,0.08000920613567565,0.7799383057119651,0.02276354872251779,0.7364589089121272,0.02305680432952625,0.8304426377597108,0.044105774846481094,0.16282006601492563,0.01373871299785879,0.08688397227087989,0.0036806494657726867
XGBoost,xgboost_09,9,"{""learning_rate"":0.03,""max_depth"":5,""n_estimators"":500}",77ac2e276454f25987439f5378548300d895cabd00ff3c03e73d0f6c58b89ad5,ok,,15,False,mean_auroc,0.8376141860384779,0.02278813635046294,0.7803445519928833,0.03702302428102894,0.5606891039857665,0.07404604856205788,0.7855309920493155,0.021150124216357088,0.7390364830644481,0.024508355389439043,0.8402288467329119,0.04496402627484833,0.16149461368719736,0.012909433771690989,0.14302948612797384,0.007789354807046628
XGBoost,xgboost_10,10,"{""learning_rate"":0.05,""max_depth"":5,""n_estimators"":500}",8fad0e42f64b0f02555f0111c1d8dd01e2e8e0a5fc860c4128ec7914a2f4a41c,ok,,15,False,mean_auroc,0.8366327513576806,0.023671717027709604,0.7827561312775124,0.03610033128564764,0.565512262555025,0.07220066257129527,0.7838300871626038,0.0250852505942699,0.7403502378653524,0.02809660281172575,0.8344976412727091,0.04470434650824821,0.16681723395983378,0.015361718452825414,0.13401707786833866,0.006256135326819746
XGBoost,xgboost_11,11,"{""learning_rate"":0.03,""max_depth"":7,""n_estimators"":500}",1b74c4652afbe1a184853b0b1ba29e69c4e1d83007c65f9504ca9765fe81b8a9,ok,,15,False,mean_auroc,0.8376354934214133,0.021118071181402777,0.7835369142238116,0.032040946149015086,0.5670738284476233,0.06408189229803016,0.791736795669404,0.020470047036689955,0.7423504445788066,0.02499600429813001,0.8500150557061127,0.042514415237112815,0.162289563814799,0.0134865347533864,0.17806341112979376,0.009153575412036982
XGBoost,xgboost_12,12,"{""learning_rate"":0.05,""max_depth"":7,""n_estimators"":500}",703ef5801d58e41c23e1b93ca620072eec2730439007d6fb93f2c4542aaf814e,ok,,15,False,mean_auroc,0.836588965441329,0.02229814174452266,0.7850651307071282,0.031597860811387664,0.5701302614142566,0.06319572162277533,0.7863744444961317,0.01525140286498855,0.7403782426159676,0.02569868395532262,0.8402288467329118,0.03484854502911205,0.1679719607035319,0.014560450581548343,0.15702591098767396,0.0070260451970362145
LightGBM,lightgbm_01,1,"{""learning_rate"":0.03,""max_depth"":4,""n_estimators"":300,""num_leaves"":15}",3b9637e71e394e7b548cd37665c0ca709b72de7f0e265d3448f2e88299c8d72d,ok,,15,False,mean_auroc,0.8321573274896098,0.020508179763120745,0.774560001171463,0.04391844559280901,0.5491200023429257,0.08783689118561801,0.7832057059185559,0.023387726139541123,0.724205773799444,0.019592906531719228,0.8541603934557862,0.046353054099509614,0.15961970140287596,0.00948344645723242,0.03229059733372803,0.001341656469790961
LightGBM,lightgbm_02,2,"{""learning_rate"":0.05,""max_depth"":4,""n_estimators"":300,""num_leaves"":15}",fa8d86388cc60cf7bc64254a7e789b8579ad790a1868efd80f889692a9d8cc10,ok,,15,False,mean_auroc,0.8313275076832761,0.022410798945985834,0.7772774503215233,0.043200573694678814,0.5545549006430465,0.08640114738935761,0.7791611388825872,0.027174523373195824,0.7315137243802803,0.027782652144986104,0.8353809093646493,0.049428589728052454,0.16413824379134082,0.011976531585724953,0.030923563932689527,0.0010904404263438147
LightGBM,lightgbm_03,3,"{""learning_rate"":0.03,""max_depth"":5,""n_estimators"":300,""num_leaves"":63}",aeb1ab421ffcb54cd6012ebc9ffad9af55aa2a71cec5700f7fd64d81f9115768,ok,,15,False,mean_auroc,0.8342137407957771,0.021374653933721767,0.77680508429964,0.04027285556213409,0.5536101685992799,0.0805457111242682,0.7875531809290479,0.025107644601434637,0.7300124067949452,0.030019220591507346,0.8566194921208471,0.041227180816118224,0.15985067092908675,0.011271315628647078,0.04088925546190391,0.0026589921367133297
LightGBM,lightgbm_04,4,"{""learning_rate"":0.05,""max_depth"":5,""n_estimators"":300,""num_leaves"":63}",61ac1822dcee3a7f1aac310b2b2167b461cc84c91bec9a0c3bb3b47e32302bde,ok,,15,False,mean_auroc,0.8316295058352459,0.021979459082416417,0.7743855825935612,0.04023472493672861,0.5487711651871222,0.08046944987345724,0.7813179624757343,0.02860052896261417,0.7380537010157049,0.033614478671713334,0.832128876844324,0.047950035052466984,0.16680717896210462,0.013259808484491703,0.03885168593454485,0.001810193888052973
